"","GEOID","NAME","geograpy","GEOID10","concept","Estimate!!Percent in public school!!Population 3 years and over enrolled in school","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Nursery school, preschool","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!College, undergraduate","Estimate!!Percent in public school!!Population 3 years and over enrolled in school!!Graduate, professional school","Estimate!!Percent in public school!!Population enrolled in college or graduate school","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Estimate!!Percent in public school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Estimate!!Percent in public school!!Population 3 to 4 years","Estimate!!Percent in public school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school","Estimate!!Percent in public school!!Population 5 to 9 years","Estimate!!Percent in public school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school","Estimate!!Percent in public school!!Population 10 to 14 years","Estimate!!Percent in public school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school","Estimate!!Percent in public school!!Population 15 to 17","Estimate!!Percent in public school!!Population 15 to 17!!15 to 17 year olds enrolled in school","Estimate!!Percent in public school!!Population 18 to 19 years","Estimate!!Percent in public school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school","Estimate!!Percent in public school!!Population 20 to 24 years","Estimate!!Percent in public school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school","Estimate!!Percent in public school!!Population 25 to 34 years","Estimate!!Percent in public school!!Population 25 to 34 years!!25 to 34 year olds enrolled in school","Estimate!!Percent in public school!!Population 35 years and over","Estimate!!Percent in public school!!Population 35 years and over!!35 years and over enrolled in school","Estimate!!Percent in public school!!Population 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Enrolled in college or graduate school","Estimate!!Percent in public school!!Population 18 to 24 years!!Males 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Estimate!!Percent in public school!!Population 18 to 24 years!!Females 18 to 24 years","Estimate!!Percent in public school!!Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"11","721","ZCTA5 78721","ZCTA5","78721","SCHOOL ENROLLMENT",93.4,67.7,95.1,100,100,91,96.6,98,84.2,94.5,100,88.6,NA,55.7,NA,100,NA,92,NA,94.6,NA,100,NA,100,NA,84.8,NA,94,NA,100,NA,100,NA,100
"12","704","ZCTA5 78704","ZCTA5","78704","SCHOOL ENROLLMENT",74,30.7,84.2,87.8,89.8,83.7,75.9,69.9,70.2,69.9,68.5,71.1,NA,31.2,NA,85.2,NA,83.1,NA,81.8,NA,75.1,NA,63.3,NA,77.7,NA,59.9,NA,67.9,NA,68.8,NA,67.2
"13","725","ZCTA5 78725","ZCTA5","78725","SCHOOL ENROLLMENT",96.9,81.1,98.3,100,100,94.6,100,96.5,100,97.4,95.4,100,NA,86.5,NA,97.1,NA,95.8,NA,100,NA,92,NA,100,NA,100,NA,100,NA,92.3,NA,90.1,NA,100
"14","739","ZCTA5 78739","ZCTA5","78739","SCHOOL ENROLLMENT",82.3,28.1,90.7,88.8,90.6,92.5,89.4,88.1,83.7,87,88.7,84.8,NA,30.3,NA,82.5,NA,89.2,NA,90.5,NA,89.4,NA,78.2,NA,71.9,NA,94.4,NA,83.9,NA,95,NA,55.6
"15","742","ZCTA5 78742","ZCTA5","78742","SCHOOL ENROLLMENT",96.4,74.1,100,NA,100,100,100,100,NA,100,100,100,NA,NA,NA,90.5,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100,NA,100
"16","737","ZCTA5 78737","ZCTA5","78737","SCHOOL ENROLLMENT",80.5,50.9,85,81.8,81,88,87.6,87.7,33.8,75.6,65.3,87.7,NA,46.8,NA,77.2,NA,89.4,NA,89,NA,77.6,NA,75.8,NA,100,NA,66,NA,79.3,NA,63.2,NA,94
"17","747","ZCTA5 78747","ZCTA5","78747","SCHOOL ENROLLMENT",85.9,50.9,95.2,94.6,96.3,93,96.5,68.6,54.1,67,67,66.9,NA,56,NA,94,NA,91.3,NA,100,NA,93.2,NA,46.1,NA,90.2,NA,55.7,NA,55.2,NA,56.8,NA,51.9
"18","749","ZCTA5 78749","ZCTA5","78749","SCHOOL ENROLLMENT",76.6,38.4,81.5,100,73.4,85.5,82.9,78.3,72.2,76.6,73.3,78.3,NA,25.9,NA,78.6,NA,81.3,NA,82.1,NA,81.5,NA,86.5,NA,75,NA,70.3,NA,82.1,NA,67.5,NA,90.2
"19","757","ZCTA5 78757","ZCTA5","78757","SCHOOL ENROLLMENT",76.6,30.9,82.8,90.4,79.6,83.3,82.4,85,80.5,83.4,80.5,85.3,NA,39.8,NA,80.4,NA,81,NA,79.1,NA,100,NA,76,NA,94.8,NA,76.3,NA,80.8,NA,83.7,NA,79.6
"20","620","ZCTA5 78620","ZCTA5","78620","SCHOOL ENROLLMENT",81.6,36.6,85.3,68.8,78,89.4,92.2,87.4,83.5,86.9,82,94,NA,31.4,NA,72.9,NA,88.2,NA,90,NA,91.9,NA,91.9,NA,76,NA,90.7,NA,87,NA,79,NA,100
"21","719","ZCTA5 78719","ZCTA5","78719","SCHOOL ENROLLMENT",98.2,100,100,NA,100,100,100,84.8,NA,84.8,0,100,NA,NA,NA,100,NA,100,NA,100,NA,74.1,NA,NA,NA,NA,NA,100,NA,0,NA,0,NA,NA
"22","723","ZCTA5 78723","ZCTA5","78723","SCHOOL ENROLLMENT",83.7,57.9,88.4,90.4,88.2,90.1,85.8,80.3,94.4,86.1,79.6,91.6,NA,59.4,NA,85.4,NA,88.5,NA,83.3,NA,98,NA,89.9,NA,84.3,NA,80.9,NA,93,NA,83.4,NA,100
"23","738","ZCTA5 78738","ZCTA5","78738","SCHOOL ENROLLMENT",85.4,33,90.4,61.3,89.2,90,96.9,91.3,37.4,79.4,100,63.6,NA,20.6,NA,80.1,NA,91.2,NA,98.4,NA,93.6,NA,100,NA,70,NA,59.1,NA,100,NA,100,NA,100
"24","724","ZCTA5 78724","ZCTA5","78724","SCHOOL ENROLLMENT",92.3,78.7,93.9,96.7,93.7,95.7,91.7,91.9,100,92.4,95.2,90,NA,75.7,NA,93.5,NA,96.1,NA,96,NA,85.3,NA,87.2,NA,89.5,NA,90.2,NA,93.8,NA,96.6,NA,89.9
"25","727","ZCTA5 78727","ZCTA5","78727","SCHOOL ENROLLMENT",79.9,40.5,84.3,89.8,87.9,80.9,81.1,88.3,72.8,84.4,88.2,79.8,NA,45,NA,80.9,NA,82.4,NA,85.7,NA,91.1,NA,87.2,NA,84.1,NA,70.2,NA,94.4,NA,96.6,NA,92.5
"26","705","ZCTA5 78705","ZCTA5","78705","SCHOOL ENROLLMENT",87.7,38.9,84.3,100,87.4,87.9,77.9,87.7,90.1,87.9,89.9,86.2,NA,0,NA,83.2,NA,88.4,NA,80.2,NA,84,NA,90,NA,92.4,NA,85.5,NA,87.6,NA,89.4,NA,86.2
"27","759","ZCTA5 78759","ZCTA5","78759","SCHOOL ENROLLMENT",81.4,12.5,89.7,87.4,89.6,84.7,95.5,87.1,80.7,85,88.7,81.3,NA,9.2,NA,81.5,NA,85.5,NA,98.1,NA,90.5,NA,90.8,NA,84.8,NA,80.4,NA,89.9,NA,94.8,NA,85
"28","736","ZCTA5 78736","ZCTA5","78736","SCHOOL ENROLLMENT",80.3,49.5,86,68.6,87.6,85.3,94.4,91.7,0,81.1,80.8,81.5,NA,45.7,NA,76.7,NA,88.6,NA,92.2,NA,100,NA,83.9,NA,100,NA,48.3,NA,89.7,NA,65.9,NA,100
"29","750","ZCTA5 78750","ZCTA5","78750","SCHOOL ENROLLMENT",88.5,37.3,95.8,81.8,96,96.6,97.2,82.7,83.3,82.9,77.6,89.4,NA,37.9,NA,91.8,NA,96.6,NA,98.4,NA,89.7,NA,93.2,NA,68.4,NA,82,NA,94.8,NA,97.7,NA,93.1
"30","753","ZCTA5 78753","ZCTA5","78753","SCHOOL ENROLLMENT",90.1,89,92.6,100,91.3,92.8,92.1,83.7,74.3,81.8,76.1,89.9,NA,88.5,NA,92.8,NA,92.7,NA,93.7,NA,90.2,NA,95,NA,80.3,NA,59.6,NA,96.3,NA,96.7,NA,95.8
"31","652","ZCTA5 78652","ZCTA5","78652","SCHOOL ENROLLMENT",83.5,41.5,82.3,75,80.6,76.4,92.3,97.8,97.3,97.6,97.3,97.8,NA,41.5,NA,83.5,NA,74.6,NA,88.5,NA,100,NA,96.5,NA,100,NA,89.5,NA,96.5,NA,94.3,NA,100
"32","702","ZCTA5 78702","ZCTA5","78702","SCHOOL ENROLLMENT",88.3,84.8,94.4,83.8,96.6,93.1,96.6,83.5,77.2,81.6,85.7,77.8,NA,73.3,NA,94.3,NA,92.4,NA,97.5,NA,83.3,NA,74.5,NA,90.5,NA,82.1,NA,75.3,NA,75.9,NA,74.7
"33","745","ZCTA5 78745","ZCTA5","78745","SCHOOL ENROLLMENT",86.6,58,91.4,92.3,89.7,94.5,88.6,86.6,78.4,84.5,89.5,80.8,NA,53.8,NA,87.7,NA,93,NA,95.2,NA,83.8,NA,72.7,NA,88.2,NA,91,NA,78.7,NA,90.9,NA,74.1
"34","744","ZCTA5 78744","ZCTA5","78744","SCHOOL ENROLLMENT",93.6,89.3,96.8,94.8,97.9,96.4,96.4,88.7,57.4,82.9,80.5,85,NA,89.6,NA,96.8,NA,96.1,NA,96.2,NA,95.7,NA,87,NA,77.5,NA,88.9,NA,86.8,NA,94.7,NA,79.4
"35","748","ZCTA5 78748","ZCTA5","78748","SCHOOL ENROLLMENT",85.8,46,90.8,80.5,92.7,87,95.5,89.8,74.3,85.8,85.3,86.3,NA,45.9,NA,91,NA,87.3,NA,94.4,NA,98.5,NA,80.5,NA,84.1,NA,89.8,NA,85.2,NA,85,NA,85.4
"36","756","ZCTA5 78756","ZCTA5","78756","SCHOOL ENROLLMENT",72.7,0,71.7,65.8,60.2,71.1,90.1,78.8,87.4,81.8,80.5,83.2,NA,0,NA,63.1,NA,73.9,NA,79.7,NA,81.1,NA,75.8,NA,95.3,NA,65.6,NA,75.9,NA,75,NA,77.3
"37","731","ZCTA5 78731","ZCTA5","78731","SCHOOL ENROLLMENT",73,15.3,72.7,84.8,74,61.8,78.9,96.8,84.2,90,91.9,87.8,NA,18,NA,71.4,NA,66.8,NA,78.1,NA,84.4,NA,95.4,NA,88,NA,85.4,NA,96.2,NA,98,NA,94.6
"38","741","ZCTA5 78741","ZCTA5","78741","SCHOOL ENROLLMENT",91.6,92.4,93.9,85.9,93.7,93.7,97.2,90.1,88.2,89.8,89.5,90.1,NA,89.9,NA,91.1,NA,94.8,NA,98.7,NA,93.4,NA,93.7,NA,84.2,NA,79.4,NA,93.7,NA,94,NA,93.3
"39","746","ZCTA5 78746","ZCTA5","78746","SCHOOL ENROLLMENT",80.4,18.5,86.3,84.4,83.1,87.3,88.1,79.6,68.6,76.1,74.9,77.3,NA,18.4,NA,81.3,NA,87.7,NA,87.7,NA,79.8,NA,71.1,NA,90.8,NA,62.1,NA,74.5,NA,62.5,NA,85.1
"40","754","ZCTA5 78754","ZCTA5","78754","SCHOOL ENROLLMENT",87.2,79.3,92.9,75.8,93.5,96.1,96.3,77,69.6,74.4,58.3,87.1,NA,71,NA,89.5,NA,96.7,NA,95,NA,95.3,NA,100,NA,62.2,NA,76.8,NA,97.3,NA,93.5,NA,100
"41","712","ZCTA5 78712","ZCTA5","78712","SCHOOL ENROLLMENT",74.2,NA,NA,NA,NA,NA,NA,74.7,50,74.2,76.9,71.6,NA,NA,NA,NA,NA,NA,NA,100,NA,75.5,NA,73,NA,50,NA,NA,NA,74.4,NA,78.1,NA,71
